Version;SupportBegin;SupportEnd
3.5.39;2024-12-26T09:47:38;2025-12-11T09:47:38
3.5.40;2024-12-26T10:05:12;2025-12-11T10:05:12
3.5.41;2024-12-28T15:51:59;2027-01-28T15:51:59
3.5.42;2024-12-29T01:35:51;2027-01-29T01:35:51
3.5.43;2025-01-01T21:47:11;2027-02-01T21:47:11
3.5.44;2025-01-05T23:42:24;2027-04-05T23:42:24
3.5.45;2025-01-14T21:02:32;2027-04-14T21:02:32
3.5.46;2025-01-14T21:55:49;2027-04-14T21:55:49
3.5.47;2025-01-15T17:16:58;2027-04-15T17:16:58
3.5.48;2025-01-16T22:50:35;2027-04-16T22:50:35
3.5.49;2025-01-17T08:43:10;2027-04-17T08:43:10
3.5.50;2025-01-25T16:12:22;2027-04-26T00:00:00
3.5.51;2025-01-26T03:11:20;2027-04-27T00:00:00
3.5.52;2025-01-26T11:29:54;2027-04-27T00:00:00
3.5.53;2025-02-02T14:16:18;2027-05-04T00:00:00
3.5.54;2025-02-02T19:42:35;2027-05-04T00:00:00
3.5.55;2025-02-02T21:47:11;2027-05-04T00:00:00
3.5.56;2025-02-03T09:31:26;2027-05-05T00:00:00
3.5.57;2025-02-03T12:52:37;2027-05-05T00:00:00
3.5.58;2025-02-03T20:47:36;2027-05-05T00:00:00
3.5.59;2025-02-04T12:07:31;2027-05-06T00:00:00
3.5.60;2025-02-09T13:24:54;2027-05-11T00:00:00
3.5.61;2025-02-09T14:28:35;2027-05-11T00:00:00
3.5.62;2025-02-10T21:47:31;2027-05-12T00:00:00
3.5.63;2025-02-12T18:55:08;2027-05-14T00:00:00
3.5.64;2025-02-12T19:59:39;2027-05-14T00:00:00
3.5.65;2025-02-13T22:07:19;2027-05-15T00:00:00
3.5.66;2025-02-13T23:43:38;2027-05-15T00:00:00
3.5.67;2025-02-15T12:48:06;2027-05-17T00:00:00
3.5.68;2025-02-15T14:50:14;2027-05-17T00:00:00
3.5.69;2025-02-15T15:15:08;2027-05-17T00:00:00
3.5.70;2025-02-15T15:43:14;2027-05-17T00:00:00
3.5.71;2025-02-15T16:39:35;2027-05-17T00:00:00
3.5.72;2025-02-15T17:25:59;2027-05-17T00:00:00
3.5.73;2025-02-15T17:59:52;2027-05-17T00:00:00
3.5.74;2025-02-16T15:28:40;2027-05-18T00:00:00
3.5.75;2025-02-17T16:22:30;2027-05-19T00:00:00
3.5.76;2025-02-17T19:19:38;2027-05-19T00:00:00
3.5.77;2025-02-17T22:35:38;2027-05-19T00:00:00
3.5.78;2025-02-17T22:55:44;2027-05-19T00:00:00
3.5.79;2025-02-18T23:22:00;2027-05-20T00:00:00
3.5.80;2025-02-23T21:39:58;2027-05-25T00:00:00
3.5.81;2025-02-24T00:39:19;2027-05-26T00:00:00
3.5.82;2025-02-24T20:29:48;2027-05-26T00:00:00
3.5.83;2025-02-24T21:27:51;2027-05-26T00:00:00
3.5.84;2025-02-24T22:39:21;2027-05-26T00:00:00
3.5.85;2025-02-24T23:43:18;2027-05-26T00:00:00
3.5.86;2025-02-28T17:17:04;2027-05-30T00:00:00
3.5.87;2025-03-03T17:45:52;2027-06-02T00:00:00
3.5.88;2025-03-03T19:08:57;2027-06-02T00:00:00
3.5.89;2025-03-03T19:46:11;2027-06-02T00:00:00
3.5.90;2025-03-03T20:04:29;2027-06-02T00:00:00
3.5.91;2025-03-03T21:28:16;2027-06-02T00:00:00
3.5.92;2025-03-04T01:10:15;2027-06-03T00:00:00
3.5.93;2025-03-07T09:03:57;2027-06-06T00:00:00
3.5.94;2025-03-09T15:46:34;2027-06-08T00:00:00
3.5.95;2025-03-12T19:45:29;2027-06-11T00:00:00
3.5.96;2025-03-15T13:36:57;2027-06-14T00:00:00
3.5.97;2025-03-16T11:56:52;2027-06-15T00:00:00
3.5.98;2025-03-16T12:39:15;2027-06-15T00:00:00
3.5.99;2025-03-16T16:46:04;2027-06-15T00:00:00
3.5.100;2025-03-16T19:28:37;2027-06-15T00:00:00
3.5.101;2025-03-16T20:22:05;2027-06-15T00:00:00
3.5.102;2025-03-16T22:05:27;2027-06-15T00:00:00
3.5.103;2025-03-26T12:15:15;2027-06-25T00:00:00
3.5.104;2025-04-04T11:17:31;2027-07-04T00:00:00
3.5.105;2025-04-06T13:21:37;2027-07-06T00:00:00
3.5.106;2025-04-06T19:20:59;2027-07-06T00:00:00
3.5.107;2025-04-14T13:30:23;2027-07-14T00:00:00
